raw_line
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"123724,0.648600,-0.053607,-0.074309,0.755594,0.015991,-0.180908,0.988281,-0.005326,0.004261,0.001065,0.000000,0.000000,0.000000"
"123743,0.648591,-0.053653,-0.075241,0.755506,0.016479,-0.183838,0.986450,0.009587,0.004261,0.000000,0.000000,0.000000,0.000000"
"123761,0.648509,-0.054570,-0.075705,0.755465,0.015869,-0.185547,0.985718,-0.008522,0.003196,-0.001065,0.000000,0.000000,0.000000"
"123781,0.648544,-0.054351,-0.074734,0.755548,0.014282,-0.182983,0.987183,0.001065,0.004261,-0.001065,0.000000,0.000000,0.000000"
"123799,0.648090,-0.054405,-0.074479,0.755957,0.014526,-0.185547,0.985596,0.001065,0.005326,-0.001065,-35.000000,-26.000000,14.000000"
"123817,0.648182,-0.053445,-0.074524,0.755943,0.016602,-0.182007,0.986694,-0.004261,0.004261,0.000000,0.000000,0.000000,0.000000"
"123836,0.648099,-0.054331,-0.074918,0.755912,0.015503,-0.183594,0.987427,0.004261,0.003196,0.000000,0.000000,0.000000,0.000000"
"123855,0.648028,-0.055114,-0.075514,0.755857,0.014771,-0.185791,0.986938,0.000000,0.003196,-0.001065,0.000000,0.000000,0.000000"
"123876,0.648103,-0.054429,-0.074861,0.755907,0.015015,-0.183105,0.987793,-0.006392,0.003196,-0.001065,0.000000,0.000000,0.000000"
"123897,0.647659,-0.054459,-0.074634,0.756308,0.015137,-0.185425,0.985962,0.005326,0.004261,0.000000,-32.000000,-26.000000,11.000000"
"123916,0.647735,-0.053614,-0.075131,0.756254,0.016479,-0.183838,0.987427,-0.005326,0.002131,0.000000,0.000000,0.000000,0.000000"
"123935,0.647781,-0.053218,-0.074259,0.756329,0.015747,-0.181885,0.988037,-0.005326,0.002131,0.000000,0.000000,0.000000,0.000000"
"123957,0.647710,-0.053968,-0.074887,0.756275,0.015259,-0.185425,0.986572,0.001065,0.004261,0.000000,0.000000,0.000000,0.000000"
"123976,0.647729,-0.053868,-0.073922,0.756361,0.015259,-0.183716,0.987427,-0.005326,0.003196,0.000000,0.000000,0.000000,0.000000"
"123996,0.647296,-0.053922,-0.073693,0.756749,0.015747,-0.182983,0.987549,0.001065,0.004261,0.000000,-32.000000,-28.000000,13.000000"
"124015,0.647288,-0.054014,-0.074687,0.756652,0.015747,-0.184570,0.987061,-0.006392,0.004261,-0.001065,0.000000,0.000000,0.000000"
"124034,0.647362,-0.053301,-0.074042,0.756703,0.015137,-0.182861,0.987183,-0.003196,0.004261,0.000000,0.000000,0.000000,0.000000"
"124054,0.647314,-0.053729,-0.074885,0.756631,0.016235,-0.185547,0.985840,0.006392,0.003196,0.001065,0.000000,0.000000,0.000000"
