raw_line
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"125017,0.182729,0.002731,-0.001780,0.983158,0.011388,-0.000926,1.009422,-0.012478,-0.007452,0.011672,-53.000000,-24.000000,27.000000"
"125055,0.182716,0.013848,0.001543,0.983067,0.010546,-0.000148,1.009858,-0.005500,-0.009450,0.001353,0.000000,0.000000,0.000000"
"125098,0.183215,0.013524,0.000949,0.982979,0.009423,0.001594,1.008883,-0.006871,-0.008382,0.013730,-52.000000,-24.000000,27.000000"
"125132,0.182874,0.001459,-0.002371,0.983133,0.008666,-0.001644,1.009458,-0.006424,0.004794,0.016170,0.000000,0.000000,0.000000"
"125174,0.182646,0.012857,-0.001581,0.983093,0.009211,-0.002780,1.008417,0.001596,0.003986,0.012797,0.000000,0.000000,0.000000"
"125212,0.182873,0.012247,-0.001687,0.983059,0.009810,-0.000513,1.009794,-0.001114,0.007769,0.003937,-55.000000,-23.000000,28.000000"
"125249,0.182586,0.001006,-0.001456,0.983188,0.010502,-0.001129,1.010951,-0.000995,-0.012652,0.015187,0.000000,0.000000,0.000000"
"125294,0.183296,0.001277,-0.002609,0.983053,0.008055,-0.003822,1.006270,-0.042042,-0.011581,-0.002460,-53.000000,-24.000000,24.000000"
"125326,0.183064,0.008791,0.005738,0.983045,0.008871,0.004444,1.009949,-0.013942,-0.004194,0.013518,0.000000,0.000000,0.000000"
"125367,0.182764,0.001858,-0.003561,0.983149,0.008085,0.000510,1.009903,-0.010626,-0.006238,0.014488,0.000000,0.000000,0.000000"
"125405,0.182571,0.002250,-0.003406,0.983184,0.008427,0.003032,1.010798,0.002092,-0.012301,0.020275,-54.000000,-22.000000,26.000000"
"125441,0.182386,0.012020,0.002921,0.983149,0.008241,-0.003519,1.007565,-0.004162,0.003636,0.011429,0.000000,0.000000,0.000000"
"125480,0.182289,-0.000139,-0.000756,0.983245,0.009208,0.003197,1.010610,-0.008981,0.018174,0.005143,0.000000,0.000000,0.000000"
"125524,0.183025,0.000089,-0.001128,0.983108,0.010276,-0.001712,1.009233,0.002725,0.008846,0.010047,-53.000000,-25.000000,25.000000"
"125563,0.182789,0.012132,-0.001019,0.983077,0.010076,0.000123,1.008717,-0.027225,-0.009406,0.012034,0.000000,0.000000,0.000000"
"125605,0.183069,0.011765,-0.001397,0.983029,0.009841,0.001506,1.009233,-0.008177,-0.002717,0.014948,-52.000000,-23.000000,26.000000"
"125643,0.182832,0.000292,-0.001391,0.983143,0.009785,-0.000973,1.007180,-0.002019,-0.001902,0.012482,0.000000,0.000000,0.000000"
"125686,0.183456,0.000670,-0.001902,0.983026,0.009209,0.002206,1.010847,-0.011821,-0.002503,0.006111,-53.000000,-24.000000,28.000000"
"125725,0.183092,0.011702,0.001913,0.983024,0.009441,0.000565,1.008498,0.009738,-0.001053,0.019728,0.000000,0.000000,0.000000"
"125765,0.182849,0.000296,-0.002650,0.983137,0.009226,-0.000412,1.009545,-0.000721,0.008147,0.011222,0.000000,0.000000,0.000000"
"125810,0.183139,0.000499,-0.003029,0.983082,0.009173,0.002251,1.010162,-0.018301,0.001684,0.009151,-53.000000,-23.000000,27.000000"
"125844,0.182742,0.010391,0.003256,0.983101,0.009893,0.001752,1.009498,-0.018874,0.000803,0.021411,0.000000,0.000000,0.000000"
"125885,0.183328,0.010229,0.002146,0.982996,0.010615,0.001357,1.010332,-0.025346,-0.006536,0.021266,-54.000000,-26.000000,26.000000"
"125920,0.183109,-0.000908,0.000465,0.983092,0.009530,0.004613,1.011998,0.003079,-0.013176,0.012519,0.000000,0.000000,0.000000"
"125955,0.182832,0.010123,-0.002651,0.983089,0.009072,-0.000522,1.006908,0.004826,-0.005405,0.014227,0.000000,0.000000,0.000000"
"126002,0.183375,0.009944,-0.003104,0.982988,0.009507,-0.000218,1.009454,-0.010109,-0.006578,0.012250,-52.000000,-24.000000,24.000000"
"126039,0.183323,-0.000626,0.001245,0.983052,0.009880,-0.000147,1.007781,-0.002517,-0.002895,0.003876,0.000000,0.000000,0.000000"
"126079,0.183260,0.011916,-0.000633,0.982992,0.007171,0.002493,1.009116,0.003582,0.018504,0.001653,0.000000,0.000000,0.000000"
"126125,0.183592,0.011388,-0.000725,0.982936,0.010348,0.000413,1.010166,0.007420,0.008879,0.013280,-54.000000,-24.000000,27.000000"
